Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,
Sayonara,1957,30th Academy Awards,3/26/1958,Best Supporting Actor,X,Red Buttons,2/5/1919,39,
The Bridge on the River Kwai,1957,30th Academy Awards,3/26/1958,Best Supporting Actor,,Sessue Hayakawa,6/10/1889,68,
A Farewell to Arms,1957,30th Academy Awards,3/26/1958,Best Supporting Actor,,Vittorio De Sica,7/7/1901,56,
Peyton Place,1957,30th Academy Awards,3/26/1958,Best Supporting Actor,,Arthur Kennedy,2/17/1914,44,
Peyton Place,1957,30th Academy Awards,3/26/1958,Best Supporting Actor,,Russ Tamblyn,12/30/1934,23,
Sayonara,1957,30th Academy Awards,3/26/1958,Best Supporting Actress,X,Miyoshi Umeki,5/8/1929,28,
Witness for the Prosecution,1957,30th Academy Awards,3/26/1958,Best Supporting Actress,,Elsa Lanchester,10/28/1902,55,
The Bachelor Party,1957,30th Academy Awards,3/26/1958,Best Supporting Actress,,Carolyn Jones,4/28/1930,27,
Peyton Place,1957,30th Academy Awards,3/26/1958,Best Supporting Actress,,Hope Lange,11/28/1933,24,
Peyton Place,1957,30th Academy Awards,3/26/1958,Best Supporting Actress,,Diane Varsi,2/23/1938,20,
Separate Tables,1958,31st Academy Awards,4/6/1959,Best Actor,X,David Niven,3/1/1910,49,
The Old Man and the Sea,1958,31st Academy Awards,4/6/1959,Best Actor,,Spencer Tracy,4/5/1900,59,
Cat on a Hot Tin Roof,1958,31st Academy Awards,4/6/1959,Best Actor,,Paul Newman,1/26/1925,34,
The Defiant Ones,1958,31st Academy Awards,4/6/1959,Best Actor,,Tony Curtis,6/3/1925,33,
The Defiant Ones,1958,31st Academy Awards,4/6/1959,Best Actor,,Sidney Poitier,2/20/1927,32,
I Want to Live!,1958,31st Academy Awards,4/6/1959,Best Actress,X,Susan Hayward,6/30/1917,41,
Auntie Mame,1958,31st Academy Awards,4/6/1959,Best Actress,,Rosalind Russell,6/4/1907,51,
Separate Tables,1958,31st Academy Awards,4/6/1959,Best Actress,,Deborah Kerr,9/30/1921,37,
Cat on a Hot Tin Roof,1958,31st Academy Awards,4/6/1959,Best Actress,,Elizabeth Taylor,2/27/1932,27,
Some Came Running,1958,31st Academy Awards,4/6/1959,Best Actress,,Shirley MacLaine,4/24/1934,24,
The Big Country,1958,31st Academy Awards,4/6/1959,Best Supporting Actor,X,Burl Ives,6/14/1909,49,
The Brothers Karamazov,1958,31st Academy Awards,4/6/1959,Best Supporting Actor,,Lee J. Cobb,12/8/1911,47,
Teacher's Pet,1958,31st Academy Awards,4/6/1959,Best Supporting Actor,,Gig Young,11/4/1913,45,
Some Came Running,1958,31st Academy Awards,4/6/1959,Best Supporting Actor,,Arthur Kennedy,2/17/1914,45,
The Defiant Ones,1958,31st Academy Awards,4/6/1959,Best Supporting Actor,,Theodore Bikel,5/2/1924,34,
Separate Tables,1958,31st Academy Awards,4/6/1959,Best Supporting Actress,X,Wendy Hiller,8/15/1912,46,
Auntie Mame,1958,31st Academy Awards,4/6/1959,Best Supporting Actress,,Peggy Cass,5/21/1924,34,
Some Came Running,1958,31st Academy Awards,4/6/1959,Best Supporting Actress,,Martha Hyer,10/1/1924,34,
Lonelyhearts,1958,31st Academy Awards,4/6/1959,Best Supporting Actress,,Maureen Stapleton,6/21/1925,33,
The Defiant Ones,1958,31st Academy Awards,4/6/1959,Best Supporting Actress,,Cara Williams,6/29/1925,33,
Ben-Hur,1959,32nd Academy Awards,4/4/1960,Best Actor,X,Charlton Heston,10/4/1923,36,
The Last Angry Man,1959,32nd Academy Awards,4/4/1960,Best Actor,,Paul Muni,9/22/1895,64,
Anatomy of a Murder,1959,32nd Academy Awards,4/4/1960,Best Actor,,James Stewart,5/20/1908,51,
Some Like It Hot,1959,32nd Academy Awards,4/4/1960,Best Actor,,Jack Lemmon,2/8/1925,35,
Room at the Top,1959,32nd Academy Awards,4/4/1960,Best Actor,,Laurence Harvey,10/1/1928,31,
Room at the Top,1959,32nd Academy Awards,4/4/1960,Best Actress,X,Simone Signoret,3/25/1921,39,
"Suddenly, Last Summer",1959,32nd Academy Awards,4/4/1960,Best Actress,,Katharine Hepburn,5/12/1907,52,
Pillow Talk,1959,32nd Academy Awards,4/4/1960,Best Actress,,Doris Day,3/1/1922,38,
The Nun's Story,1959,32nd Academy Awards,4/4/1960,Best Actress,,Audrey Hepburn,5/4/1929,30,
"Suddenly, Last Summer",1959,32nd Academy Awards,4/4/1960,Best Actress,,Elizabeth Taylor,2/27/1932,28,
Ben-Hur,1959,32nd Academy Awards,4/4/1960,Best Supporting Actor,X,Hugh Griffith,5/30/1912,47,
The Diary of Anne Frank,1959,32nd Academy Awards,4/4/1960,Best Supporting Actor,,Ed Wynn,11/9/1886,73,
Anatomy of a Murder,1959,32nd Academy Awards,4/4/1960,Best Supporting Actor,,Arthur O'Connell,3/29/1908,52,
Anatomy of a Murder,1959,32nd Academy Awards,4/4/1960,Best Supporting Actor,,George C. Scott,10/18/1927,32,
The Young Philadelphians,1959,32nd Academy Awards,4/4/1960,Best Supporting Actor,,Robert Vaughn,11/22/1932,27,
The Diary of Anne Frank,1959,32nd Academy Awards,4/4/1960,Best Supporting Actress,X,Shelley Winters,8/18/1920,39,
Pillow Talk,1959,32nd Academy Awards,4/4/1960,Best Supporting Actress,,Thelma Ritter,2/14/1902,58,
Room at the Top,1959,32nd Academy Awards,4/4/1960,Best Supporting Actress,,Hermione Baddeley,11/13/1906,53,
Imitation of Life,1959,32nd Academy Awards,4/4/1960,Best Supporting Actress,,Juanita Moore,10/19/1922,37,
Imitation of Life,1959,32nd Academy Awards,4/4/1960,Best Supporting Actress,,Susan Kohner,11/11/1936,23,
Elmer Gantry,1960,33rd Academy Awards,4/17/1961,Best Actor,X,Burt Lancaster,11/2/1913,47,
Inherit the Wind,1960,33rd Academy Awards,4/17/1961,Best Actor,,Spencer Tracy,4/5/1900,61,
The Entertainer,1960,33rd Academy Awards,4/17/1961,Best Actor,,Laurence Olivier,5/22/1907,53,
Sons and Lovers,1960,33rd Academy Awards,4/17/1961,Best Actor,,Trevor Howard,9/29/1913,47,
The Apartment,1960,33rd Academy Awards,4/17/1961,Best Actor,,Jack Lemmon,2/8/1925,36,
Butterfield 8,1960,33rd Academy Awards,4/17/1961,Best Actress,X,Elizabeth Taylor,2/27/1932,29,
Sunrise at Campobello,1960,33rd Academy Awards,4/17/1961,Best Actress,,Greer Garson,9/29/1904,56,
Never on Sunday,1960,33rd Academy Awards,4/17/1961,Best Actress,,Melina Mercouri,10/18/1920,40,
The Sundowners,1960,33rd Academy Awards,4/17/1961,Best Actress,,Deborah Kerr,9/30/1921,39,
The Apartment,1960,33rd Academy Awards,4/17/1961,Best Actress,,Shirley MacLaine,4/24/1934,27,
Spartacus,1960,33rd Academy Awards,4/17/1961,Best Supporting Actor,X,Peter Ustinov,4/16/1921,40,
The Alamo,1960,33rd Academy Awards,4/17/1961,Best Supporting Actor,,Chill Wills,7/18/1902,58,
The Apartment,1960,33rd Academy Awards,4/17/1961,Best Supporting Actor,,Jack Kruschen,3/20/1922,39,
"Murder, Inc.",1960,33rd Academy Awards,4/17/1961,Best Supporting Actor,,Peter Falk,9/16/1927,33,
Exodus,1960,33rd Academy Awards,4/17/1961,Best Supporting Actor,,Sal Mineo,1/10/1939,22,
Elmer Gantry,1960,33rd Academy Awards,4/17/1961,Best Supporting Actress,X,Shirley Jones,3/31/1934,27,
The Sundowners,1960,33rd Academy Awards,4/17/1961,Best Supporting Actress,,Glynis Johns,10/5/1923,37,
Psycho,1960,33rd Academy Awards,4/17/1961,Best Supporting Actress,,Janet Leigh,7/6/1927,33,
Sons and Lovers,1960,33rd Academy Awards,4/17/1961,Best Supporting Actress,,Mary Ure,2/18/1933,28,
The Dark at the Top of the Stairs,1960,33rd Academy Awards,4/17/1961,Best Supporting Actress,,Shirley Knight,7/5/1936,24,
Judgment at Nuremberg,1961,34th Academy Awards,4/9/1962,Best Actor,X,Maximilian Schell,12/8/1930,31,
Fanny,1961,34th Academy Awards,4/9/1962,Best Actor,,Charles Boyer,8/28/1899,62,
Judgment at Nuremberg,1961,34th Academy Awards,4/9/1962,Best Actor,,Spencer Tracy,4/5/1900,62,
The Hustler,1961,34th Academy Awards,4/9/1962,Best Actor,,Paul Newman,1/26/1925,37,
The Mark,1961,34th Academy Awards,4/9/1962,Best Actor,,Stuart Whitman,2/1/1928,34,
Two Women,1961,34th Academy Awards,4/9/1962,Best Actress,X,Sophia Loren,9/20/1934,27,
Summer and Smoke,1961,34th Academy Awards,4/9/1962,Best Actress,,Geraldine Page,11/22/1924,37,
Breakfast at Tiffany's,1961,34th Academy Awards,4/9/1962,Best Actress,,Audrey Hepburn,5/4/1929,32,
The Hustler,1961,34th Academy Awards,4/9/1962,Best Actress,,Piper Laurie,1/22/1932,30,
Splendor in the Grass,1961,34th Academy Awards,4/9/1962,Best Actress,,Natalie Wood,7/20/1938,23,
West Side Story,1961,34th Academy Awards,4/9/1962,Best Supporting Actor,X,George Chakiris,9/16/1934,27,
The Hustler,1961,34th Academy Awards,4/9/1962,Best Supporting Actor,,Jackie Gleason,2/26/1916,46,
Judgment at Nuremberg,1961,34th Academy Awards,4/9/1962,Best Supporting Actor,,Montgomery Clift,10/17/1920,41,
Pocketful of Miracles,1961,34th Academy Awards,4/9/1962,Best Supporting Actor,,Peter Falk,9/16/1927,34,
The Hustler,1961,34th Academy Awards,4/9/1962,Best Supporting Actor,,George C. Scott,10/18/1927,34,
West Side Story,1961,34th Academy Awards,4/9/1962,Best Supporting Actress,X,Rita Moreno,12/11/1931,30,
The Children's Hour,1961,34th Academy Awards,4/9/1962,Best Supporting Actress,,Fay Bainter,12/7/1893,68,
The Roman Spring of Mrs. Stone,1961,34th Academy Awards,4/9/1962,Best Supporting Actress,,Lotte Lenya,10/18/1898,63,
Summer and Smoke,1961,34th Academy Awards,4/9/1962,Best Supporting Actress,,Una Merkel,12/10/1903,58,
Judgment at Nuremberg,1961,34th Academy Awards,4/9/1962,Best Supporting Actress,,Judy Garland,6/10/1922,39,
To Kill a Mockingbird,1962,35th Academy Awards,4/8/1963,Best Actor,X,Gregory Peck,4/5/1916,47,
Birdman of Alcatraz,1962,35th Academy Awards,4/8/1963,Best Actor,,Burt Lancaster,11/2/1913,49,
Divorce - Italian Style,1962,35th Academy Awards,4/8/1963,Best Actor,,Marcello Mastroianni,9/28/1924,38,
Days of Wine and Roses,1962,35th Academy Awards,4/8/1963,Best Actor,,Jack Lemmon,2/8/1925,38,
Lawrence of Arabia,1962,35th Academy Awards,4/8/1963,Best Actor,,Peter O'Toole,8/2/1932,30,
The Miracle Worker,1962,35th Academy Awards,4/8/1963,Best Actress,X,Anne Bancroft,9/17/1931,31,
Long Day's Journey Into Night,1962,35th Academy Awards,4/8/1963,Best Actress,,Katharine Hepburn,5/12/1907,55,
Whatever Happened to Baby Jane?,1962,35th Academy Awards,4/8/1963,Best Actress,,Bette Davis,4/5/1908,55,
Sweet Bird of Youth,1962,35th Academy Awards,4/8/1963,Best Actress,,Geraldine Page,11/22/1924,38,
Days of Wine and Roses,1962,35th Academy Awards,4/8/1963,Best Actress,,Lee Remick,12/14/1935,27,
Sweet Bird of Youth,1962,35th Academy Awards,4/8/1963,Best Supporting Actor,X,Ed Begley,3/25/1901,62,
Birdman of Alcatraz,1962,35th Academy Awards,4/8/1963,Best Supporting Actor,,Telly Savalas,1/21/1922,41,
Lawrence of Arabia,1962,35th Academy Awards,4/8/1963,Best Supporting Actor,,Omar Sharif,4/10/1932,31,
Whatever Happened to Baby Jane?,1962,35th Academy Awards,4/8/1963,Best Supporting Actor,,Victor Buono,2/3/1938,25,
Billy Budd,1962,35th Academy Awards,4/8/1963,Best Supporting Actor,,Terence Stamp,7/22/1938,24,
The Miracle Worker,1962,35th Academy Awards,4/8/1963,Best Supporting Actress,X,Patty Duke,12/14/1946,16,
Birdman of Alcatraz,1962,35th Academy Awards,4/8/1963,Best Supporting Actress,,Thelma Ritter,2/14/1902,61,
The Manchurian Candidate,1962,35th Academy Awards,4/8/1963,Best Supporting Actress,,Angela Lansbury,10/16/1925,37,
Sweet Bird of Youth,1962,35th Academy Awards,4/8/1963,Best Supporting Actress,,Shirley Knight,7/5/1936,26,
To Kill a Mockingbird,1962,35th Academy Awards,4/8/1963,Best Supporting Actress,,Mary Badham,10/7/1952,10,
Lilies of the Field,1963,36th Academy Awards,4/13/1964,Best Actor,X,Sidney Poitier,2/20/1927,37,
Cleopatra,1963,36th Academy Awards,4/13/1964,Best Actor,,Rex Harrison,3/5/1908,56,
Hud,1963,36th Academy Awards,4/13/1964,Best Actor,,Paul Newman,1/26/1925,39,
This Sporting Life,1963,36th Academy Awards,4/13/1964,Best Actor,,Richard Harris,10/1/1930,33,
Tom Jones,1963,36th Academy Awards,4/13/1964,Best Actor,,Albert Finney,5/9/1936,27,
Hud,1963,36th Academy Awards,4/13/1964,Best Actress,X,Patricia Neal,1/20/1926,38,
This Sporting Life,1963,36th Academy Awards,4/13/1964,Best Actress,,Rachel Roberts,9/20/1927,36,
The L-Shaped Room,1963,36th Academy Awards,4/13/1964,Best Actress,,Leslie Caron,7/1/1931,32,
Irma la Douce,1963,36th Academy Awards,4/13/1964,Best Actress,,Shirley MacLaine,4/24/1934,29,
Love with the Proper Stranger,1963,36th Academy Awards,4/13/1964,Best Actress,,Natalie Wood,7/20/1938,25,
Hud,1963,36th Academy Awards,4/13/1964,Best Supporting Actor,X,Melvyn Douglas,4/5/1901,63,
The Cardinal,1963,36th Academy Awards,4/13/1964,Best Supporting Actor,,John Huston,8/5/1906,57,
Tom Jones,1963,36th Academy Awards,4/13/1964,Best Supporting Actor,,Hugh Griffith,5/30/1912,51,
Twilight of Honor,1963,36th Academy Awards,4/13/1964,Best Supporting Actor,,Nick Adams,7/10/1931,32,
"Captain Newman, M.D.",1963,36th Academy Awards,4/13/1964,Best Supporting Actor,,Bobby Darin,5/14/1936,27,
The V.I.P.s,1963,36th Academy Awards,4/13/1964,Best Supporting Actress,X,Margaret Rutherford,5/11/1892,71,
Tom Jones,1963,36th Academy Awards,4/13/1964,Best Supporting Actress,,Dame Edith Evans,2/8/1888,76,
Lilies of the Field,1963,36th Academy Awards,4/13/1964,Best Supporting Actress,,Lilia Skala,11/28/1896,67,
Tom Jones,1963,36th Academy Awards,4/13/1964,Best Supporting Actress,,Joyce Redman,12/9/1918,45,
Tom Jones,1963,36th Academy Awards,4/13/1964,Best Supporting Actress,,Diane Cilento,10/5/1933,30,
My Fair Lady,1964,37th Academy Awards,4/5/1965,Best Actor,X,Rex Harrison,3/5/1908,57,
Zorba the Greek,1964,37th Academy Awards,4/5/1965,Best Actor,,Anthony Quinn,4/21/1915,49,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,37th Academy Awards,4/5/1965,Best Actor,,Peter Sellers,9/8/1925,39,
Becket,1964,37th Academy Awards,4/5/1965,Best Actor,,Richard Burton,11/10/1925,39,
Becket,1964,37th Academy Awards,4/5/1965,Best Actor,,Peter O'Toole,8/2/1932,32,
Mary Poppins,1964,37th Academy Awards,4/5/1965,Best Actress,X,Julie Andrews,10/1/1935,29,
Seance on a Wet Afternoon,1964,37th Academy Awards,4/5/1965,Best Actress,,Kim Stanley,2/11/1925,40,
The Pumpkin Eater,1964,37th Academy Awards,4/5/1965,Best Actress,,Anne Bancroft,9/17/1931,33,
The Unsinkable Molly Brown,1964,37th Academy Awards,4/5/1965,Best Actress,,Debbie Reynolds,4/1/1932,33,
Marriage Italian Style,1964,37th Academy Awards,4/5/1965,Best Actress,,Sophia Loren,9/20/1934,30,
Topkapi,1964,37th Academy Awards,4/5/1965,Best Supporting Actor,X,Peter Ustinov,4/16/1921,44,
My Fair Lady,1964,37th Academy Awards,4/5/1965,Best Supporting Actor,,Stanley Holloway,10/1/1890,74,
The Best Man,1964,37th Academy Awards,4/5/1965,Best Supporting Actor,,Lee Tracy,4/14/1898,67,
Becket,1964,37th Academy Awards,4/5/1965,Best Supporting Actor,,John Gielgud,4/14/1904,61,
Seven Days in May,1964,37th Academy Awards,4/5/1965,Best Supporting Actor,,Edmond O'Brien,9/10/1915,49,
Zorba the Greek,1964,37th Academy Awards,4/5/1965,Best Supporting Actress,X,Lila Kedrova,10/9/1918,46,
The Chalk Garden,1964,37th Academy Awards,4/5/1965,Best Supporting Actress,,Dame Edith Evans,2/8/1888,77,
My Fair Lady,1964,37th Academy Awards,4/5/1965,Best Supporting Actress,,Gladys Cooper,12/18/1888,76,
"Hush... Hush, Sweet Charlotte",1964,37th Academy Awards,4/5/1965,Best Supporting Actress,,Agnes Moorehead,12/6/1900,64,
The Night of the Iguana,1964,37th Academy Awards,4/5/1965,Best Supporting Actress,,Grayson Hall,9/18/1922,42,
Cat Ballou,1965,38th Academy Awards,4/18/1966,Best Actor,X,Lee Marvin,2/19/1924,42,
Othello,1965,38th Academy Awards,4/18/1966,Best Actor,,Laurence Olivier,5/22/1907,58,
Ship of Fools,1965,38th Academy Awards,4/18/1966,Best Actor,,Oskar Werner,11/13/1922,43,
The Pawnbroker,1965,38th Academy Awards,4/18/1966,Best Actor,,Rod Steiger,4/14/1925,41,
The Spy Who Came in From the Cold,1965,38th Academy Awards,4/18/1966,Best Actor,,Richard Burton,11/10/1925,40,
Darling,1965,38th Academy Awards,4/18/1966,Best Actress,X,Julie Christie,4/14/1941,25,
Ship of Fools,1965,38th Academy Awards,4/18/1966,Best Actress,,Simone Signoret,3/25/1921,45,
The Sound of Music,1965,38th Academy Awards,4/18/1966,Best Actress,,Julie Andrews,10/1/1935,30,
The Collector,1965,38th Academy Awards,4/18/1966,Best Actress,,Samantha Eggar,3/5/1939,27,
A Patch of Blue,1965,38th Academy Awards,4/18/1966,Best Actress,,Elizabeth Hartman,12/2/1943,22,
A Thousand Clowns,1965,38th Academy Awards,4/18/1966,Best Supporting Actor,X,Martin Balsam,11/4/1919,46,
Othello,1965,38th Academy Awards,4/18/1966,Best Supporting Actor,,Frank Finlay,8/6/1926,39,
The Flight of the Phoenix,1965,38th Academy Awards,4/18/1966,Best Supporting Actor,,Ian Bannen,6/29/1928,37,
Ship of Fools,1965,38th Academy Awards,4/18/1966,Best Supporting Actor,,Michael Dunn,10/20/1934,31,
Doctor Zhivago,1965,38th Academy Awards,4/18/1966,Best Supporting Actor,,Tom Courtenay,2/25/1937,29,
A Patch of Blue,1965,38th Academy Awards,4/18/1966,Best Supporting Actress,X,Shelley Winters,8/18/1920,45,
The Sound of Music,1965,38th Academy Awards,4/18/1966,Best Supporting Actress,,Peggy Wood,2/8/1892,74,
Inside Daisy Clover,1965,38th Academy Awards,4/18/1966,Best Supporting Actress,,Ruth Gordon,10/30/1896,69,
Othello,1965,38th Academy Awards,4/18/1966,Best Supporting Actress,,Joyce Redman,12/9/1918,47,
Othello,1965,38th Academy Awards,4/18/1966,Best Supporting Actress,,Maggie Smith,12/28/1934,31,
A Man for All Seasons,1966,39th Academy Awards,4/10/1967,Best Actor,X,Paul Scofield,1/21/1922,45,
Who's Afraid of Virginia Woolf?,1966,39th Academy Awards,4/10/1967,Best Actor,,Richard Burton,11/10/1925,41,
The Sand Pebbles,1966,39th Academy Awards,4/10/1967,Best Actor,,Steve McQueen,3/24/1930,37,
Alfie,1966,39th Academy Awards,4/10/1967,Best Actor,,Michael Caine,3/14/1933,34,
The Russians Are Coming the Russians Are Coming,1966,39th Academy Awards,4/10/1967,Best Actor,,Alan Arkin,3/26/1934,33,
Who's Afraid of Virginia Woolf?,1966,39th Academy Awards,4/10/1967,Best Actress,X,Elizabeth Taylor,2/27/1932,35,
The Shop on Main Street,1966,39th Academy Awards,4/10/1967,Best Actress,,Ida Kaminska,9/18/1899,67,
A Man and a Woman,1966,39th Academy Awards,4/10/1967,Best Actress,,Anouk Aimee,4/27/1932,34,
Morgan!,1966,39th Academy Awards,4/10/1967,Best Actress,,Vanessa Redgrave,1/30/1937,30,
Georgy Girl,1966,39th Academy Awards,4/10/1967,Best Actress,,Lynn Redgrave,3/8/1943,24,
The Fortune Cookie,1966,39th Academy Awards,4/10/1967,Best Supporting Actor,X,Walter Matthau,7/1/1920,46,
Georgy Girl,1966,39th Academy Awards,4/10/1967,Best Supporting Actor,,James Mason,5/15/1909,57,
A Man for All Seasons,1966,39th Academy Awards,4/10/1967,Best Supporting Actor,,Robert Shaw,8/9/1927,39,
The Sand Pebbles,1966,39th Academy Awards,4/10/1967,Best Supporting Actor,,Mako,12/10/1933,33,
Who's Afraid of Virginia Woolf?,1966,39th Academy Awards,4/10/1967,Best Supporting Actor,,George Segal,2/13/1934,33,
Who's Afraid of Virginia Woolf?,1966,39th Academy Awards,4/10/1967,Best Supporting Actress,X,Sandy Dennis,4/27/1937,29,
Hawaii,1966,39th Academy Awards,4/10/1967,Best Supporting Actress,,Jocelyne Lagarde,4/7/1905,62,
A Man for All Seasons,1966,39th Academy Awards,4/10/1967,Best Supporting Actress,,Wendy Hiller,8/15/1912,54,
You're a Big Boy Now,1966,39th Academy Awards,4/10/1967,Best Supporting Actress,,Geraldine Page,11/22/1924,42,
Alfie,1966,39th Academy Awards,4/10/1967,Best Supporting Actress,,Vivien Merchant,7/22/1929,37,
In the Heat of the Night,1967,40th Academy Awards,4/10/1968,Best Actor,X,Rod Steiger,4/14/1925,43,
Guess Who's Coming to Dinner,1967,40th Academy Awards,4/10/1968,Best Actor,,Spencer Tracy,4/5/1900,68,
Cool Hand Luke,1967,40th Academy Awards,4/10/1968,Best Actor,,Paul Newman,1/26/1925,43,
Bonnie and Clyde,1967,40th Academy Awards,4/10/1968,Best Actor,,Warren Beatty,3/30/1937,31,
The Graduate,1967,40th Academy Awards,4/10/1968,Best Actor,,Dustin Hoffman,8/8/1937,30,
Guess Who's Coming to Dinner,1967,40th Academy Awards,4/10/1968,Best Actress,X,Katharine Hepburn,5/12/1907,60,
The Whisperers,1967,40th Academy Awards,4/10/1968,Best Actress,,Dame Edith Evans,2/8/1888,80,
Wait Until Dark,1967,40th Academy Awards,4/10/1968,Best Actress,,Audrey Hepburn,5/4/1929,38,
The Graduate,1967,40th Academy Awards,4/10/1968,Best Actress,,Anne Bancroft,9/17/1931,36,
Bonnie and Clyde,1967,40th Academy Awards,4/10/1968,Best Actress,,Faye Dunaway,1/14/1941,27,
Cool Hand Luke,1967,40th Academy Awards,4/10/1968,Best Supporting Actor,X,George Kennedy,2/18/1925,43,
Guess Who's Coming to Dinner,1967,40th Academy Awards,4/10/1968,Best Supporting Actor,,Cecil Kellaway,8/22/1890,77,
The Dirty Dozen,1967,40th Academy Awards,4/10/1968,Best Supporting Actor,,John Cassavetes,12/9/1929,38,
Bonnie and Clyde,1967,40th Academy Awards,4/10/1968,Best Supporting Actor,,Gene Hackman,1/30/1930,38,
Bonnie and Clyde,1967,40th Academy Awards,4/10/1968,Best Supporting Actor,,Michael J. Pollard,5/30/1939,28,
Bonnie and Clyde,1967,40th Academy Awards,4/10/1968,Best Supporting Actress,X,Estelle Parsons,11/20/1927,40,
Barefoot in the Park,1967,40th Academy Awards,4/10/1968,Best Supporting Actress,,Mildred Natwick,6/19/1905,62,
Guess Who's Coming to Dinner,1967,40th Academy Awards,4/10/1968,Best Supporting Actress,,Beah Richards,7/12/1920,47,
Thoroughly Modern Millie,1967,40th Academy Awards,4/10/1968,Best Supporting Actress,,Carol Channing,1/31/1921,47,
The Graduate,1967,40th Academy Awards,4/10/1968,Best Supporting Actress,,Katharine Ross,1/29/1940,28,
Charly,1968,41st Academy Awards,4/14/1969,Best Actor,X,Cliff Robertson,9/9/1923,45,
Oliver!,1968,41st Academy Awards,4/14/1969,Best Actor,,Ron Moody,1/8/1924,45,
The Lion in Winter,1968,41st Academy Awards,4/14/1969,Best Actor,,Peter O'Toole,8/2/1932,36,
The Fixer,1968,41st Academy Awards,4/14/1969,Best Actor,,Alan Bates,2/17/1934,35,
The Heart Is a Lonely Hunter,1968,41st Academy Awards,4/14/1969,Best Actor,,Alan Arkin,3/26/1934,35,
The Lion in Winter,1968,41st Academy Awards,4/14/1969,Best Actress,X,Katharine Hepburn,5/12/1907,61,
Funny Girl,1968,41st Academy Awards,4/14/1969,Best Actress,X,Barbra Streisand,4/24/1942,26,
The Subject Was Roses,1968,41st Academy Awards,4/14/1969,Best Actress,,Patricia Neal,1/20/1926,43,
"Rachel, Rachel",1968,41st Academy Awards,4/14/1969,Best Actress,,Joanne Woodward,2/27/1930,39,
Isadora,1968,41st Academy Awards,4/14/1969,Best Actress,,Vanessa Redgrave,1/30/1937,32,
The Subject Was Roses,1968,41st Academy Awards,4/14/1969,Best Supporting Actor,X,Jack Albertson,6/16/1907,61,
The Producers,1968,41st Academy Awards,4/14/1969,Best Supporting Actor,,Gene Wilder,6/11/1933,35,
Star!,1968,41st Academy Awards,4/14/1969,Best Supporting Actor,,Daniel Massey,10/10/1933,35,
Faces,1968,41st Academy Awards,4/14/1969,Best Supporting Actor,,Seymour Cassel,1/22/1935,34,
Oliver!,1968,41st Academy Awards,4/14/1969,Best Supporting Actor,,Jack Wild,9/30/1952,16,
Rosemary's Baby,1968,41st Academy Awards,4/14/1969,Best Supporting Actress,X,Ruth Gordon,10/30/1896,72,
Funny Girl,1968,41st Academy Awards,4/14/1969,Best Supporting Actress,,Kay Medford,9/14/1914,54,
"Rachel, Rachel",1968,41st Academy Awards,4/14/1969,Best Supporting Actress,,Estelle Parsons,11/20/1927,41,
Faces,1968,41st Academy Awards,4/14/1969,Best Supporting Actress,,Lynn Carlin,1/31/1938,31,
The Heart Is a Lonely Hunter,1968,41st Academy Awards,4/14/1969,Best Supporting Actress,,Sondra Locke,5/28/1944,24,
True Grit,1969,42nd Academy Awards,4/7/1970,Best Actor,X,John Wayne,5/26/1907,62,
Anne of the Thousand Days,1969,42nd Academy Awards,4/7/1970,Best Actor,,Richard Burton,11/10/1925,44,
"Goodbye, Mr. Chips",1969,42nd Academy Awards,4/7/1970,Best Actor,,Peter O'Toole,8/2/1932,37,
Midnight Cowboy,1969,42nd Academy Awards,4/7/1970,Best Actor,,Dustin Hoffman,8/8/1937,32,
Midnight Cowboy,1969,42nd Academy Awards,4/7/1970,Best Actor,,Jon Voight,12/29/1938,31,
The Prime of Miss Jean Brodie,1969,42nd Academy Awards,4/7/1970,Best Actress,X,Maggie Smith,12/28/1934,35,
The Happy Ending,1969,42nd Academy Awards,4/7/1970,Best Actress,,Jean Simmons,1/31/1929,41,
"They Shoot Horses, Don't They?",1969,42nd Academy Awards,4/7/1970,Best Actress,,Jane Fonda,12/21/1937,32,
Anne of the Thousand Days,1969,42nd Academy Awards,4/7/1970,Best Actress,,Genevieve Bujold,7/1/1942,27,
The Sterile Cuckoo,1969,42nd Academy Awards,4/7/1970,Best Actress,,Liza Minnelli,3/12/1946,24,
"They Shoot Horses, Don't They?",1969,42nd Academy Awards,4/7/1970,Best Supporting Actor,X,Gig Young,11/4/1913,56,
Anne of the Thousand Days,1969,42nd Academy Awards,4/7/1970,Best Supporting Actor,,Anthony Quayle,9/7/1913,56,
The Reivers,1969,42nd Academy Awards,4/7/1970,Best Supporting Actor,,Rupert Crosse,11/29/1927,42,
Easy Rider,1969,42nd Academy Awards,4/7/1970,Best Supporting Actor,,Jack Nicholson,4/22/1937,32,
Bob & Carol & Ted & Alice,1969,42nd Academy Awards,4/7/1970,Best Supporting Actor,,Elliott Gould,8/29/1938,31,
Cactus Flower,1969,42nd Academy Awards,4/7/1970,Best Supporting Actress,X,Goldie Hawn,11/21/1945,24,
Midnight Cowboy,1969,42nd Academy Awards,4/7/1970,Best Supporting Actress,,Sylvia Miles,9/9/1932,37,
